"SampleID"	"Factor1"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"
"Subject8TP0"	"Group1"	9.99	-2.46	5.07	-4.09	2.19	2.52	-1.66	0	0.86	0.87
"Subject8TP1"	"Group1"	9.06	-0.84	-1.31	0.73	-1.64	3.32	0.48	0.87	-1.42	-0.05
"Subject8TP2"	"Group1"	0.59	7.42	-0.01	-1.52	-1.62	-2.05	-1.15	1.18	-0.43	-0.72
"Subject8TP3"	"Group1"	4.61	3.22	-5.3	2.06	4.85	0.05	-0.61	0.61	-0.27	-0.75
"Subject9TP0"	"Group1"	10.15	-2.81	5.27	-3.92	2.64	2.85	-1.59	-0.21	0.79	0.53
"Subject9TP1"	"Group1"	9.61	-1.38	-0.86	0.76	-1.68	3.72	0.83	1.15	-1.04	-1.41
"Subject9TP2"	"Group1"	0.11	7.18	-0.21	-1.5	-2.19	-2.03	-0.81	1.71	-0.2	-1.2
"Subject9TP3"	"Group1"	5	3.69	-3.74	2.15	4.41	0.24	-0.31	-0.73	-0.99	-3.05
"Subject10TP0"	"Group2"	-5.26	-2	1.83	3.35	-0.37	0.25	-1.76	-0.71	1.3	0.07
"Subject10TP1"	"Group2"	-4.55	-2.66	0.23	1.27	-0.65	-0.46	2.95	0.14	0.38	-0.22
"Subject10TP2"	"Group2"	-1.44	-8.75	-4.17	-1.57	-1.4	-2.55	-0.6	0.1	0.99	-1.33
"Subject10TP3"	"Group2"	-7.84	3.14	0.72	-2.18	0.1	1.34	1.4	-0.91	0.1	-0.6
"Subject11TP0"	"Group2"	-5.08	-1.67	0.95	4.25	-0.1	0.7	-1.62	-2.28	2.18	-2.16
"Subject11TP1"	"Group2"	-4.69	-2.32	0.15	0.73	-0.27	0.06	2.5	0.26	0.69	-0.51
"Subject11TP2"	"Group2"	-1.81	-9.11	-3.8	-1.94	-0.41	-2.86	-0.53	-0.46	1.35	-0.6
"Subject11TP3"	"Group2"	-8.41	2.8	0.89	-2.96	-1.08	1.32	0.82	-1.06	-0.98	-0.13
"Subject12TP0"	"Group2"	-6.02	-0.88	2.21	4.13	-0.7	0.25	-2.46	0.06	0.01	0.71
"Subject12TP1"	"Group2"	-5.32	-2.46	0.4	0.75	-0.05	0.58	1.9	1.94	0.48	-0.73
"Subject12TP2"	"Group2"	-1.26	-8.21	-4.14	-2.56	-0.53	-2.62	-1.13	-1.6	-0.73	-0.71
"Subject12TP3"	"Group2"	-7.88	2.95	0	-2.99	0.11	1.52	1.24	-3.24	0.12	0.77
"Subject13TP0"	"Group2"	-5.61	-0.42	1.45	4.07	-1.14	0.2	-2.11	-0.64	-0.14	0.08
"Subject13TP1"	"Group2"	-5.47	-2.07	0.24	0.96	0.5	0.5	2.07	1.92	0.2	-0.64
"Subject13TP2"	"Group2"	-0.8	-8.41	-5.11	-2.52	-0.52	-2.9	-1.68	-2.12	-0.57	-0.26
"Subject13TP3"	"Group2"	-7.83	3.44	0.05	-3.11	-0.21	1.11	1.31	-3.47	-0.72	0.98
"Subject14TP0"	"Group2"	-5.89	-1.12	2.13	3.6	-1.1	0.52	-2.5	-0.23	-0.46	0.41
"Subject14TP1"	"Group2"	-4.77	-2.16	0.53	1.36	0.56	0.64	2.37	1.38	0.44	0.05
"Subject14TP2"	"Group2"	-0.87	-9.29	-4.03	-2.33	-1.38	-2.43	-1.17	-2.02	-0.69	0.05
"Subject14TP3"	"Group2"	-7.8	3.47	0.27	-2.77	-0.8	2.32	1.15	-1.92	-2.29	-0.94
"Subject15TP0"	"Group2"	-5.95	-0.75	2.45	3.75	-0.7	1.64	-2.47	0.02	0.34	0.73
"Subject15TP1"	"Group2"	-4.65	-2.93	-0.31	1.4	-0.44	0.08	2.78	0.82	1.09	1.15
"Subject15TP2"	"Group2"	-2.14	-7.7	-3.85	-2.9	2.05	-0.01	-2.05	1.26	-0.97	1.71
"Subject15TP3"	"Group2"	-7.11	1.56	0.71	-3.67	-0.02	2.9	0.27	0.68	0.19	1.17
"Subject16TP0"	"Group2"	-5.85	-0.62	2.5	3.19	-0.61	1.67	-2.51	0.22	0.01	0.41
"Subject16TP1"	"Group2"	-5.18	-3.21	-0.23	1.49	-0.2	0.12	2.67	1.27	0.72	1.32
"Subject16TP2"	"Group2"	-1.56	-7.78	-4.32	-2.65	2.46	0.14	-3.27	3.74	0.17	0.21
"Subject16TP3"	"Group2"	-6.8	2.23	0.32	-3.88	1.1	3.44	0.03	0.61	-0.9	0.12
"Subject17TP0"	"Group2"	-6.92	-0.12	2.43	3.49	-1.49	1.62	-2.86	0.09	0.2	0.18
"Subject17TP1"	"Group2"	-4.17	-3.97	0.38	1.07	0.43	-0.59	3.24	0.68	-0.68	-0.58
"Subject17TP2"	"Group2"	-4.11	-4.58	-3	-0.64	0.34	-0.44	-0.25	1.09	-1.11	0.15
"Subject17TP3"	"Group2"	-7.98	2.44	0.98	-1.37	0.67	1.73	1.08	-0.31	0.33	0.35
"Subject18TP0"	"Group2"	-6.39	0.03	3.2	2.87	-0.21	0.82	-1.97	-0.21	0.36	0.68
"Subject18TP1"	"Group2"	-4.4	-3.6	0	0.62	0.31	-0.4	2.85	1	-0.35	-0.4
"Subject18TP2"	"Group2"	-4.29	-4.4	-2.66	-0.41	0.1	0.03	0.22	1.87	-0.6	-0.36
"Subject18TP3"	"Group2"	-7.98	2.2	0.94	-1.26	1.01	0.31	0.63	0.16	-0.33	-0.75
